Experiment,Year,System,Hybrid,Rep,Plot,Range,Row,PHT,EHT,YIELD,MST,PROT,OIL,FIB,STA
HIP_Hybrid_Conv,2022,Conventional,LH145*LH82,4,631,23,53,136,40,67.03032544,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ40*PHAJ0,1,569,6,55,129,50,53.55621302,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ40*PHAJ0,2,583,10,55,131,50,74.72104818,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH145*LH82,2,587,11,53,149,50,89.15384615,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHK76,1,566,5,51,172,51,154.3551352,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ40*PHAJ0,4,627,22,55,129,53,42.38377008,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH145*LH82,3,595,14,51,143,55,107.8174134,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHRE1*PHTD5,2,582,10,53,139,56,117.7461961,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHN82,1,556,3,55,163,56,178.5450127,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHN82,2,586,11,55,165,56,184.5190194,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHRE1*PHTD5,4,626,22,53,144,57,NA,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHG29*PHG47,4,638,25,55,160,58,144.2776839,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHK76,1,554,2,57,168,58,200.8901099,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ89*PH207,3,612,18,53,171,58,130.9583686,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHB47*PHN82,1,1034,3,5,122,60,60.26086957,8.1,6.76,3.23,1.52,68.26
HIP_Hybrid_Conv,2022,Conventional,LH195*PHN82,4,623,21,53,166,60,136.3371724,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ40*PHAJ0,3,613,18,55,132,61,48.18195266,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHJ40*PHAJ0,1,1044,4,23,158,61,68.3919018,8.09,7.95,3.33,1.34,66.98
HIP_Hybrid_Conv,2022,Conventional,LH244*PHK76,1,564,5,55,179,61,187.1743449,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHK76,3,610,17,51,177,62,151.8729924,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHZ51,1,552,2,53,179,62,192.2806424,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHN82,3,600,15,55,169,63,171.2867709,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH145*LH82,1,551,2,51,142,64,125.9467456,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHK76,2,577,9,57,169,64,176.2278107,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHZ51,4,622,21,55,189,64,128.2998732,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH195*MO17,1,1046,4,27,174,65,98.2845382,7.98,6.15,4.44,2.31,67.92
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHK76,2,573,8,51,179,65,153.5325444,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHK76,4,617,20,51,191,65,130.8729924,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*PHN82,2,584,10,57,179,66,211.1105241,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHN82,4,630,23,55,167,67,105.5199704,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*MO17,4,625,22,51,191,67,130.7109045,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHRE1*PHTD5,3,616,19,55,149,68,54.63387574,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHJ40*PHAJ0,2,1114,8,31,161,68,75.34709432,7.94,9.23,3.4,1.28,65.94
HIP_Hybrid_Conv,2022,Conventional,PHB47*MO17,1,567,6,51,184,68,172.7587701,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*PHZ51,4,620,20,57,203,68,117.5480769,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ89*PH207,2,575,8,55,163,69,112.9423077,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHN82,1,561,4,55,164,69,164.146978,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*MO17,2,581,10,51,181,69,182.7204142,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*PHZ51,1,571,7,57,199,69,128.9556213,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHG29*PHG47,2,1101,8,5,150,70,98.89582272,7.74,6.47,4.49,1.7,67.84
HIP_Hybrid_Conv,2022,Conventional,LH195*PHN82,2,579,9,53,165,70,165.7068893,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,B73*PHN82,1,1022,3,29,171,70,89.05965137,7.76,6.17,4.24,1.86,68.16
ORG_YieldTrial2022,2022,Organic,PHJ89*PH207,2,1171,12,9,178,70,66.81422542,8.11,6.95,3.62,1.63,67.98
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHZ51,1,562,4,57,187,70,182.2781065,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,B73*MO17,1,1053,5,35,150,71,182.0375289,8.07,6.79,3.82,1.99,68.17
ORG_YieldTrial2022,2022,Organic,PHJ89*PH207,1,1035,4,5,164,71,79.82340497,8.12,6.55,3.8,1.84,68.22
HIP_Hybrid_Conv,2022,Conventional,PHG29*PHG47,1,565,5,53,167,71,145.2419696,NA,NA,NA,NA,NA
